mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgbclassifier__colsample_bylevel,param_xgbclassifier__colsample_bytree,param_xgbclassifier__learning_rate,param_xgbclassifier__max_depth,param_xgbclassifier__n_estimators,param_xgbclassifier__reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0471919059753418,0.0014336899604430197,0.00775303840637207,0.00035583576682614564,0.4,0.4,0.05,2,75,0.4,"{'xgbclassifier__colsample_bylevel': 0.4, 'xgbclassifier__colsample_bytree': 0.4, 'xgbclassifier__learning_rate': 0.05, 'xgbclassifier__max_depth': 2, 'xgbclassifier__n_estimators': 75, 'xgbclassifier__reg_lambda': 0.4}",0.762481089258699,0.7655068078668684,0.7878787878787878,0.7106060606060606,0.759090909090909,0.757112730940265,0.02534803200408,34
0.04754838943481445,0.0027460735424871857,0.008007001876831055,0.00034062262214274764,0.4,0.4,0.05,2,75,0.5,"{'xgbclassifier__colsample_bylevel': 0.4, 'xgbclassifier__colsample_bytree': 0.4, 'xgbclassifier__learning_rate': 0.05, 'xgbclassifier__max_depth': 2, 'xgbclassifier__n_estimators': 75, 'xgbclassifier__reg_lambda': 0.5}",0.762481089258699,0.7685325264750378,0.7878787878787878,0.7090909090909091,0.7606060606060606,0.7577178746618989,0.026161991483453943,33
0.04455718994140625,0.0032909738900981254,0.008267927169799804,0.00035705505910031514,0.4,0.4,0.05,3,50,0.4,"{'xgbclassifier__colsample_bylevel': 0.4, 'xgbclassifier__colsample_bytree': 0.4, 'xgbclassifier__learning_rate': 0.05, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 50, 'xgbclassifier__reg_lambda': 0.4}",0.789712556732224,0.7881996974281392,0.8015151515151515,0.7348484848484849,0.7863636363636364,0.7801279053775272,0.023253145723655208,15
0.043023204803466795,0.0014111021051393532,0.00839376449584961,0.0004816735568960619,0.4,0.4,0.05,3,50,0.5,"{'xgbclassifier__colsample_bylevel': 0.4, 'xgbclassifier__colsample_bytree': 0.4, 'xgbclassifier__learning_rate': 0.05, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 50, 'xgbclassifier__reg_lambda': 0.5}",0.789712556732224,0.7881996974281392,0.8,0.7348484848484849,0.7878787878787878,0.7801279053775272,0.023074755106731414,15
0.05407581329345703,0.003671293844316415,0.00839543342590332,0.0006069109470869653,0.4,0.4,0.05,3,75,0.4,"{'xgbclassifier__colsample_bylevel': 0.4, 'xgbclassifier__colsample_bytree': 0.4, 'xgbclassifier__learning_rate': 0.05, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 75, 'xgbclassifier__reg_lambda': 0.4}",0.8018154311649016,0.8048411497730711,0.8075757575757576,0.75,0.7924242424242425,0.7913313161875946,0.021287490842914286,9
0.059273815155029295,0.009782931418062961,0.00827775001525879,0.0002624740857417961,0.4,0.4,0.05,3,75,0.5,"{'xgbclassifier__colsample_bylevel': 0.4, 'xgbclassifier__colsample_bytree': 0.4, 'xgbclassifier__learning_rate': 0.05, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 75, 'xgbclassifier__reg_lambda': 0.5}",0.8018154311649016,0.8018154311649016,0.806060606060606,0.75,0.793939393939394,0.7907261724659607,0.020736605732940814,10
0.039400339126586914,0.0012955962621002699,0.007853126525878907,0.0006134556574817325,0.4,0.5,0.01,2,50,0.4,"{'xgbclassifier__colsample_bylevel': 0.4, 'xgbclassifier__colsample_bytree': 0.5, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 2, 'xgbclassifier__n_estimators': 50, 'xgbclassifier__reg_lambda': 0.4}",0.7503782148260212,0.7382753403933434,0.7287878787878788,0.6681818181818182,0.7242424242424242,0.7219731352862971,0.028346804519040987,55
0.04051694869995117,0.0038358842856201433,0.008459520339965821,0.001174590102025642,0.4,0.5,0.01,2,50,0.5,"{'xgbclassifier__colsample_bylevel': 0.4, 'xgbclassifier__colsample_bytree': 0.5, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 2, 'xgbclassifier__n_estimators': 50, 'xgbclassifier__reg_lambda': 0.5}",0.7503782148260212,0.7382753403933434,0.7287878787878788,0.6681818181818182,0.7242424242424242,0.7219731352862971,0.028346804519040987,55
0.04705424308776855,0.0018472372800019923,0.007864427566528321,0.0001906364544677866,0.4,0.5,0.01,2,75,0.4,"{'xgbclassifier__colsample_bylevel': 0.4, 'xgbclassifier__colsample_bytree': 0.5, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 2, 'xgbclassifier__n_estimators': 75, 'xgbclassifier__reg_lambda': 0.4}",0.7655068078668684,0.7428139183055976,0.7318181818181818,0.6772727272727272,0.7378787878787879,0.7310580846284326,0.02920574794334744,52
0.0492863655090332,0.0023332195335845326,0.008263778686523438,0.0010122047047936514,0.4,0.5,0.01,2,75,0.5,"{'xgbclassifier__colsample_bylevel': 0.4, 'xgbclassifier__colsample_bytree': 0.5, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 2, 'xgbclassifier__n_estimators': 75, 'xgbclassifier__reg_lambda': 0.5}",0.7655068078668684,0.7428139183055976,0.7348484848484849,0.6772727272727272,0.7378787878787879,0.7316641452344932,0.029246645631425598,51
